Spanish,English
parte,part
historia,history
buscar,search
solamente,only
policía,police
pensamiento,thought
Ayuda,help
pedido,request
género,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
ninguno,no
dejar solo,leash
a ellos,them
ciudad,city
cada,each
hablar,speak
llegó,come
debería,should
Bebé,baby
mucho tiempo,long time
horas,hours
van,will
durante,while
adiós,meet again
ninguno,any
lugar,square
hablar,speak
Comprendido,understood
sabía,knew
eran,were
atención,Warning
aquí está,here is
podría,could
amorío,case
dar,give
amable,type
su,their
dado,given
tren,train
cuerpo,body
lugar,place
ojos,eyes
forma,way
escuchar,listen
cuyo,whose
encontrar,find
primero,first
perdido,lost
mano,hand
primero,first
lado,side
poder,power
viejo,old
ser,be
sostener,here
Mañana,morning
semejante,so much
niño,child
punto,point
vino,came
siguiente,after
indulto,sorry
venir,come
delante,in front of
hacia,towards
minutos,minutes
pedido,request
habitación,bedroom
poner,placed
precioso,beautiful
correcto,law
gustaria,would like to
Hoy,today
marido,husband
causa,cause
Finalmente,finally
esperanza,hope
agua,water
esperar,Wait
izquierda,left
nueva,new
trabajo,job
parar,Stop
diría,would say
tierra,Earth
cuenta,account
dado,given
lejos,far
FIN,end
creer,believe
Cariño,sweetheart
grueso,large
en cambio,rather
tendrá,will have
chicas,girls
jugar,to play
despacho,office